n,p,T_compute,T_compute_std,T_reduce,T_reduce_std,T_total,T_total_std,gflops,gflops_std,best_seed,best_acc,flops_total
5000,1,29.625,1.6639636774881845,0.010849999999999999,0.0026162950903902255,29.6359,1.6614180930759137,9.3,0.523259018078046,21,0.765,275251200000
5000,2,15.5006,0.06137686860699247,0.0088,0.0016970562748477146,15.5094,0.06307392488183938,17.75,0.07071067811865576,21,0.765,275251200000
5000,4,8.34205,0.09623723291948905,0.0109,0.0018384776310850248,8.3529,0.09800499987245569,32.955,0.38890872965259915,21,0.765,275251200000
5000,8,6.66755,0.6299614313590953,0.015349999999999999,0.00021213203435596482,6.68285,0.6301028527153323,41.370000000000005,3.903229432149747,21,0.765,275251200000
5000,16,6.097799999999999,0.8533364635359261,0.0409,0.008485281374238568,6.1387,0.8618217449101641,45.285,6.356889962867061,21,0.765,275251200000
5000,32,6.1162,0.4692360599953934,0.08585,0.002333452377915605,6.20205,0.46690260761747693,44.510000000000005,3.351686142824234,21,0.765,275251200000
10000,1,58.774,0.3271075969768932,0.00925,0.0016263455967290594,58.78325,0.32873394257362604,9.365,0.049497474683058526,4,0.798,550502400000
10000,2,31.1441,0.4241226473556888,0.0086,0.0007071067811865482,31.152700000000003,0.42341554057450387,17.67,0.2404163056034273,4,0.798,550502400000
10000,4,16.7733,0.5822317236290029,0.0102,0.00028284271247461793,16.783450000000002,0.5825852770195941,32.82,1.1455129855222101,4,0.798,550502400000
10000,8,11.78375,0.11872322856122097,0.016300000000000002,0.00028284271247462097,11.8001,0.11893536059557833,46.655,0.47376154339498805,4,0.798,550502400000
10000,16,11.25145,0.03259762261269923,0.0371,0.005374011537017758,11.28855,0.03797163414971766,48.765,0.16263455967290874,4,0.798,550502400000
10000,32,11.5216,0.27266037482553285,0.08249999999999999,0.01965756851698602,11.604099999999999,0.25300280630854677,47.45,1.0323759005323625,4,0.798,550502400000
20000,1,113.9587,0.817415439051638,0.00855,0.0004949747468305827,113.9673,0.817981124476586,9.66,0.07071067811865576,18,0.856,1101004800000
20000,2,60.02185,0.8056067558058376,0.00885,7.071067811865432e-05,60.03065,0.8057481771620696,18.345,0.24748737341528887,18,0.856,1101004800000
20000,4,31.583599999999997,0.0012727922061340753,0.0118,0.0004242640687119284,31.595399999999998,0.001697056274845015,34.85,0.0,18,0.856,1101004800000
20000,8,20.79675,0.27555951262839595,0.0171,0.00014142135623730864,20.813850000000002,0.2754180912721602,52.905,0.700035713374686,18,0.856,1101004800000
20000,16,20.66935,0.14672465709620705,0.0359,0.002404163056034262,20.7052,0.14439120471829311,53.175,0.37476659402887097,18,0.856,1101004800000
20000,32,21.2031,0.08386286424872504,0.0704,0.017253405460951762,21.2735,0.10111626970967301,51.754999999999995,0.24748737341529514,18,0.856,1101004800000
40000,1,224.94195000000002,0.7819893893142067,0.007600000000000001,0.0008485281374238571,224.94955,0.7811408611767748,9.785,0.03535533905932788,26,0.8681,2202009600000
40000,2,117.7062,0.5263702879152702,0.009049999999999999,7.071067811865494e-05,117.7153,0.5262288665590332,18.71,0.08485281374238766,26,0.8681,2202009600000
40000,4,64.07485,0.16213958492607178,0.0113,0.0,64.0862,0.1620688742479533,34.36,0.08485281374238891,26,0.8681,2202009600000
40000,8,43.9243,0.3486036431249669,0.019450000000000002,0.001626345596729058,43.943799999999996,0.3503006993998157,50.11,0.3959797974644682,26,0.8681,2202009600000
40000,16,41.83240000000001,0.025880108191425104,0.03755,0.0009192388155425087,41.8699,0.024890158697768755,52.59,0.02828427124746381,26,0.8681,2202009600000
40000,32,42.41695,0.0004949747468269176,0.07855000000000001,0.011808683245815344,42.49555,0.012374368670763376,51.82,0.014142135623728137,26,0.8681,2202009600000
